date,gross_value,net_value,benchmark_value
2006-06-02,96419.04233698391,93002.31713667561,85044.18
2006-06-05,94833.49263360929,91379.95098460438,83645.68
2006-06-06,95219.14953610807,91660.18350795274,83305.52
2006-06-07,94916.74130175744,91369.07825874671,83570.1
2006-06-08,95732.38229686656,92154.23338408166,82851.97
2006-06-09,94815.25650551304,91179.23238358315,82058.24
2006-06-12,93941.72614561777,90339.20061428264,81302.24
2006-06-13,92325.79034174008,88694.89434540283,82700.76
2006-06-14,93127.54690320512,89376.42533535973,83418.94
2006-06-15,93000.93140674559,89165.53340959593,83532.35
2006-06-16,91107.26852973469,87349.96599567239,85233.22
2006-06-19,91066.85051072708,87311.21483297262,85271.02
2006-06-20,88967.81244837704,85298.74199377146,87236.48
2006-06-21,89738.78003155427,86037.91454565538,86480.51
2006-06-22,91229.20997930183,87466.87852795489,85044.195
2006-06-23,92526.69404537813,88623.38692034292,86253.71
2006-06-26,92364.47335135657,88379.38623953906,86404.94
2006-06-27,93576.55917766984,89450.79694912687,87538.82
2006-06-28,92323.98179453678,88163.9945275153,88710.58
2006-06-29,91655.24450277908,87437.22559216016,88068.01
2006-06-30,93228.72577505543,88938.2944913315,89579.9
2006-07-03,94605.49379968116,90162.7646876508,88257.016
2006-07-05,94078.80397846653,89660.80852732349,88748.36
2006-07-06,94800.02875265836,90348.1641658877,88068.0
2006-07-07,95613.74665827514,91033.32124036686,88823.94
2006-07-10,93986.33300039973,89483.86966581641,87312.09
2006-07-11,92114.68222229826,87701.88127515494,85573.35
2006-07-12,90568.60166681238,86229.86649914103,84137.06
2006-07-13,90690.65381377807,86346.071675605,84250.45
2006-07-14,91463.713505767,87082.09754780855,84968.62
2006-07-17,92521.59108426911,88089.29696005362,85951.37
2006-07-18,89836.30549148926,85444.56204953627,88445.95
2006-07-19,91947.84262785043,87452.8744448496,86367.1
2006-07-20,96052.31528140458,91269.24270829045,90222.445
2006-07-21,95529.18690711515,90680.89507220103,90713.83
2006-07-24,94653.4986356506,89849.64968184884,91545.38
2006-07-25,94067.31027812857,89293.21152235016,92112.32
2006-07-26,95997.28516531196,91125.23643434723,90222.46
2006-07-27,94469.00407959077,89674.51858295525,91658.805
2006-07-28,95209.23267201785,90377.17913615968,90940.59
2006-07-31,94932.2693658436,90023.89507673723,90676.05
2006-08-01,93705.56376271906,88770.59111637362,91847.75
2006-08-02,94052.64594486103,89099.39432973159,91507.555
2006-08-03,93741.82038651491,88804.93829702119,91809.97
2006-08-04,94011.97478044107,89060.86509878759,91545.38
2006-08-07,93546.18346531106,88619.6045298243,91998.95
2006-08-08,93930.49632916933,88895.058078781,92376.914
2006-08-09,93853.63166423641,88733.41892671307,92452.51
2006-08-10,93738.50231855348,88535.83707773531,92339.1
2006-08-11,94122.27027637143,88898.30518367495,92717.13
2006-08-14,94815.49012959535,89553.05001601196,93400.01
2006-08-15,94507.44810701077,89172.55186179573,93703.445
2006-08-16,94507.44810701077,89083.37930993392,93703.445
2006-08-17,98678.06366733911,93014.63060661433,97838.58
2006-08-18,99940.65246605904,94204.75560862989,99090.42
2006-08-21,98027.52725143246,92401.4304466913,97193.57
2006-08-22,98218.88959109082,92581.80992186366,97383.305
2006-08-23,97951.08815819077,92236.7966146934,97648.83
2006-08-24,97532.48991228,91842.61864283682,98066.13
2006-08-25,97909.83227313843,92106.10490564958,98445.55
2006-08-28,98324.90883716557,92404.4711839823,98028.2
2006-08-29,98172.71764871858,92169.03941225339,97876.47
2006-08-30,97792.23450986505,91811.82443175168,97497.13
2006-08-31,98324.90883716711,92311.92346377272,98028.2
2006-09-01,99200.103614732,93041.28444372611,97155.66
2006-09-05,99200.103614732,92948.24315928239,97155.66
2006-09-06,99897.30217214438,93508.55412335486,96472.82
2006-09-07,100565.09339272139,94040.12943170482,97117.72
2006-09-08,101782.88792550025,95178.90981384521,98293.766
2006-09-11,101704.36623739445,95010.30393783914,98369.59
2006-09-12,101900.55393822335,95098.56848997889,98559.35
2006-09-13,100527.80375591331,93722.352477209,99887.09
2006-09-14,102513.19913533503,95479.61978733884,101859.83
2006-09-15,102742.28281760582,95597.5060859619,101632.2
2006-09-18,103010.71654999869,95751.6752257238,101897.74
2006-09-19,104237.9654960117,96892.44141428547,103111.734
2006-09-20,103164.10571052796,95894.25523656195,102049.47
2006-09-21,104084.53465552689,96653.92840539159,101138.984
2006-09-22,102952.27357640666,95602.49956786363,102239.2
2006-09-25,101997.24429226236,94715.64992819111,103187.61
2006-09-26,101097.28385974714,93879.93776884014,104098.07
2006-09-27,101244.63187203127,94016.76659050054,103946.34
2006-09-28,101059.82901546861,93751.14006337804,103756.61
2006-09-29,101096.80361488211,93785.44064435242,103794.56
2006-10-02,101133.71809331643,93819.6854523219,103832.46
2006-10-03,103239.91748822067,95773.56362920704,105994.86
2006-10-04,103313.78652413854,95746.31686203247,105919.016
2006-10-05,103498.81389224289,95917.79145037822,105729.32
2006-10-06,102941.78028744907,95305.64133581065,105160.28
2006-10-09,102830.32925074617,95202.45764789649,105046.43
2006-10-10,102273.35605933328,94686.80028247852,104477.45
2006-10-11,99748.12970894537,92254.206403362,107057.11
2006-10-12,99217.95983387042,91763.86737418194,107626.12
2006-10-13,98938.14690905839,91505.07636331026,107929.63
2006-10-16,98903.3858811186,91381.42180148083,107891.71
2006-10-17,98625.1939147354,91033.0059293886,108195.19
2006-10-18,99420.55955216031,91767.14415425567,107322.65
2006-10-19,99912.54321739476,92129.48767023526,107853.734
2006-10-20,99842.22988105986,91972.52216253875,107929.63
2006-10-23,100438.84323770336,92522.10959895447,107284.7
2006-10-24,100545.40228377833,92527.74739862863,107398.52
2006-10-25,100403.32356065516,92304.47051795034,107550.29
2006-10-26,100367.87531001175,92179.57716600505,107512.32
2006-10-27,99694.95398808096,91469.37511172699,108233.14
2006-10-30,99065.981417226,90892.29747923819,108915.98
2006-10-31,98720.93363731605,90575.71872023877,109295.336
2006-11-01,98857.985344398,90701.46263709017,109143.6
2006-11-02,98995.4553824165,90827.59036944906,108991.83
2006-11-03,98616.42298384462,90479.83097684615,109409.13
2006-11-06,98240.24489241479,90134.6903897115,109826.484
2006-11-07,98342.0223781161,90137.93578171448,109940.266
2006-11-08,97391.8384152509,89176.8820466191,111002.516
2006-11-09,97458.41552375711,89237.84340692271,110926.64
2006-11-10,97091.82180184036,88902.17169530543,111343.9
2006-11-13,97158.1787124155,88962.93143127125,111267.805
2006-11-14,96792.54133477728,88539.1724653052,110849.07
2006-11-15,97955.94605943168,89603.37524521626,112181.42
2006-11-16,97723.26691763809,89390.53633862027,111914.95
2006-11-17,99351.9850234724,90880.3758580835,113780.2
2006-11-20,99252.28207219455,90698.29406652998,113894.38
2006-11-21,99252.28207219455,90698.29406652998,113894.38
2006-11-22,99783.00380267149,91183.27591856722,113285.36
2006-11-24,100721.83208554793,92041.19194730262,112219.49
2006-11-27,101029.35609705295,92322.21221853138,111876.86
2006-11-28,100410.57798191797,91756.7630593108,112562.07
2006-11-29,101123.68746040302,92408.41369978899,111762.664
2006-11-30,100297.04514726996,91560.60655833155,110849.06
2006-12-01,99573.7064104463,90808.71410058593,111648.484
2006-12-04,100252.71147750401,91427.94963203365,110887.15
2006-12-05,100734.53994807591,91867.36507017483,110354.21
2006-12-06,100248.05760487044,91331.8380522538,109821.27
2006-12-07,98336.8931690378,89499.32374229086,111914.93
2006-12-08,98805.16451889607,89836.01206582521,112447.87
2006-12-11,98437.22218877997,89501.47012392586,112029.125
