date,gross_value,net_value,benchmark_value
2006-12-07,126947.1450002268,118031.97079341442,130484.91
2006-12-08,126242.33079872704,117376.65389561374,131209.36
2006-12-11,122529.77370900098,113807.4435672968,127350.734
2006-12-12,118390.51834527994,109849.03528135718,131652.86
2006-12-13,117725.76554583218,109122.3931553745,130913.64
2006-12-14,116622.34026811876,108099.60594805457,129686.61
2006-12-15,113630.98438541408,105326.85767849194,126360.16
2006-12-18,114747.78137969112,106362.0394003453,127602.06
2006-12-19,112687.07742160278,104451.931222677,125310.516
2006-12-20,110214.24308059824,102159.81105751099,122560.67
2006-12-21,111144.89492450144,102920.29126353322,121525.766
2006-12-22,112077.88410630422,103784.24024114567,120505.63
2006-12-26,112064.12011319557,103771.4947688444,120520.42
2006-12-27,112957.66301655403,104598.91645053822,119559.45
2006-12-28,118502.88702091893,109629.20087747875,125428.77
2006-12-29,117050.21178172836,108285.30428887624,123891.19
2007-01-03,114452.13906653448,105773.49411908763,126641.09
2007-01-04,115267.25651294418,106526.80306662999,125739.17
2007-01-05,114698.0035841695,106000.7152905071,126360.14
2007-01-08,105169.9880115486,97195.18743094195,136856.95
2007-01-09,110202.94411808166,101749.3107551426,143406.31
2007-01-10,108839.62453348801,100490.57098932692,141632.22
2007-01-11,107499.00481640118,99252.78979128397,139887.69
2007-01-12,104681.4668335626,96552.1314757648,143554.14
2007-01-16,106999.33679312606,98690.00068842417,140375.55
2007-01-17,113625.53993580383,104801.62728641742,131682.44
2007-01-18,114352.66051437244,105472.2812600794,130839.766
2007-01-19,116562.15114782895,107510.18764970943,128311.72
2007-01-22,118026.13970834982,108860.48603824047,126700.164
2007-01-23,116648.90459333792,107590.20401105902,128178.62
2007-01-24,117254.30300378033,108148.58849580445,127513.38
2007-01-25,116071.57869990102,106949.56340412302,126227.18
2007-01-26,115310.31252235692,106141.17524365144,127055.04
2007-01-29,115833.59814159686,106622.8507278234,126478.46
2007-01-30,116077.32324629967,106740.57267751858,126744.57
2007-01-31,114736.91070366443,105507.97703847697,125280.98
2007-02-01,114723.40034792126,105390.04541943182,125295.734
2007-02-02,113626.93876611456,104277.3967366566,124098.23
2007-02-05,113911.16029127686,104538.23172052827,124408.65
2007-02-06,116618.54095013675,107022.84153354276,127365.53
2007-02-07,116659.13787037432,107060.0980257432,127409.87
2007-02-08,112719.93311747759,103445.02204723559,123107.63
2007-02-09,110540.47412207826,101341.45000599326,125487.94
2007-02-12,110306.02968339462,101025.1742565758,125221.79
2007-02-13,111087.40409918687,101740.80591099775,126108.81
2007-02-14,110970.20259427628,101633.46542842657,125975.766
2007-02-15,110475.34489321744,101180.24373578503,125413.99
2007-02-16,111868.7784821025,102456.4375353092,126995.85
2007-02-20,116166.44638216689,106392.51110941099,131874.66
2007-02-21,115762.72815016193,105916.36814262909,132332.95
2007-02-22,115193.64330149209,105289.77122989942,131682.42
2007-02-23,114469.43393815147,104627.82638638827,130854.55
2007-02-26,108546.11485927585,99213.76973480536,124083.37
2007-02-27,109425.5722369595,100017.615011757,125088.7
2007-02-28,106256.98383938368,97021.43109849475,128710.84
2007-03-01,108270.81339600803,98860.22435718052,126271.46
2007-03-02,107117.27642603432,97806.94951718465,127616.79
2007-03-05,104796.68604115164,95688.05820294358,130381.48
2007-03-06,105355.20138962264,96198.02899677903,129686.61
2007-03-07,105691.50484231193,96408.90388745596,130100.57
2007-03-08,105655.45662834412,96376.02169128589,130056.2
2007-03-09,107937.4748236905,98457.61635864177,132865.25
2007-03-12,109703.04398514153,99969.66270707146,130691.94
2007-03-13,107717.46190359759,98160.2510101997,133057.42
2007-03-14,108232.09481200791,98629.22321373044,132421.72
2007-03-15,108207.95161355576,98607.2221158734,132451.27
2007-03-16,106347.9284720602,96912.22916647226,134728.02
2007-03-19,106756.4508449212,97187.59324195179,135245.56
2007-03-20,103967.40388249246,94551.34819998498,138778.89
2007-03-21,104067.10564811832,94547.4688894219,138911.97
2007-03-22,103579.75410652263,94104.69829029488,138261.42
2007-03-23,106160.36693691665,96449.24712518153,141706.11
2007-03-26,106592.27573196181,96745.1974082276,141129.6
2007-03-27,104113.35225257263,94398.5336334502,137847.45
2007-03-28,104682.79384223132,94914.84061896804,138601.4
2007-03-29,105620.72430445044,95670.33793363957,137359.58
2007-03-30,104779.43041031357,94908.30120568095,138453.69
2007-04-02,105730.38346181251,95674.75794807871,139710.27
2007-04-03,105473.10371118423,95441.94712246401,139370.3
2007-04-04,105931.80754640554,95857.02533335981,139976.42
2007-04-05,104779.43039380322,94814.24650734765,138453.69
2007-04-09,105450.69557018451,95421.67013683301,139340.67
2007-04-10,103593.45441380785,93741.06431408269,136886.55
2007-04-11,103145.87899537297,93336.05613743371,136295.12
2007-04-12,100964.1157547772,91361.79232499412,133412.19
2007-04-13,102295.56223100786,92566.60985391382,135171.53
2007-04-16,101087.213650605,91473.18283547589,133574.84
2007-04-17,101143.19396339712,91523.83906787458,133648.81
2007-04-18,100997.71459643687,91392.19570515672,133456.58
2007-04-19,101780.88698529889,92100.88346625857,134491.44
2007-04-20,104622.75137256843,94672.46864802878,138246.64
2007-04-23,104924.8474218941,94851.16099136732,137847.45
2007-04-24,107299.28152600168,96902.77786922398,140966.92
2007-04-25,103371.90625265786,93259.03332028759,146126.61
2007-04-26,104501.401211662,94184.77076130344,147723.25
2007-04-27,104626.90435987814,94203.69916517429,147545.84
2007-04-30,104280.95533896238,93798.01078917361,147057.98
2007-05-01,105245.4432781437,94665.54263936906,148418.11
2007-05-02,105255.93745210915,94674.98187628086,148432.9
2007-05-03,104826.09343715632,94193.67336749495,149039.08
2007-05-04,101592.18866275619,91287.78075971553,153636.95
2007-05-07,100477.75062499527,90286.37920905967,155322.31
2007-05-08,98737.12024031814,88722.29946009806,158013.03
2007-05-09,98312.1591517099,88340.4418074683,158693.11
2007-05-10,97029.9322228384,87188.27004792893,160762.86
2007-05-11,96476.68389477642,86691.13721968111,161679.5
2007-05-14,98099.91235062623,88149.72301600104,158959.22
2007-05-15,97935.68486908148,87914.00326297275,158693.11
2007-05-16,96019.68071140313,86106.14830054686,161797.78
2007-05-17,96528.55070962053,86476.37397096903,162655.25
