date,gross_value,net_value,benchmark_value
2012-11-08,94054.47576538529,91811.43619689367,104228.3
2012-11-09,96381.01938719302,94082.49570314954,106806.51
2012-11-12,98056.13291276911,95717.66061502058,108662.82
2012-11-13,98769.58851290215,96318.38384972591,107872.19
2012-11-14,100532.19190086398,98037.24399942023,105947.14
2012-11-15,103859.3477047403,101183.7911935117,109453.51
2012-11-16,100336.47990092251,97650.49341218214,113166.13
2012-11-19,100092.66656562692,97413.20690865327,113441.125
2012-11-20,101700.20739451578,98977.71420725725,111619.195
2012-11-21,100635.27143292634,97842.30864343567,110450.4
2012-11-23,101073.75996476089,98268.62766317376,110931.66
2012-11-26,100697.89824162722,97903.19735033748,110519.13
2012-11-27,97315.1988640279,94516.47591025378,114231.75
2012-11-28,98662.34249067144,95730.36007084855,115813.06
2012-11-29,99043.06632453017,96099.76980492512,116259.97
2012-11-30,96700.25118751464,93730.47713310557,119010.03
2012-12-03,98711.35218421221,95679.81494421215,116534.945
2012-12-04,99264.61359984476,96216.08507618956,115881.79
2012-12-05,98705.11533462393,95673.76963532683,116534.945
2012-12-06,97918.96288568096,94911.76081700539,117463.1
2012-12-07,96772.6973144311,93800.69835754848,118838.16
2012-12-10,94785.1900739377,91874.22971171522,121278.836
2012-12-11,94731.47047841547,91730.28567600132,121210.1
2012-12-12,90298.49372997321,87437.74992757406,115538.05
2012-12-13,90835.80501669938,87958.03867195242,116225.54
2012-12-14,92420.92222954177,89492.93783513083,118253.72
2012-12-17,92931.3977487,89987.24099506815,118906.87
2012-12-18,92985.11734694705,90039.25870437548,118975.6
2012-12-19,92501.51606010894,89570.97837503077,118356.82
2012-12-20,91346.2804463852,88452.3417452519,116878.69
2012-12-21,92098.51817855965,89180.74785697117,117841.19
2012-12-24,93952.31030959437,90886.62930866577,115469.23
2012-12-26,93672.58730208542,90616.03371384967,115813.01
2012-12-27,94979.3728104583,91880.17857302398,114197.35
2012-12-28,93120.97902729329,90082.42451755186,116431.77
2012-12-31,89024.43719712895,86119.55359358303,121553.79
2013-01-02,90509.8389227812,87556.48639032792,119525.625
2013-01-03,91473.00041722783,88488.21974974922,118253.69
2013-01-04,91632.54431366174,88642.55769977797,118047.43
2013-01-07,93393.68837448278,90346.23530906242,115778.6
2013-01-08,93504.57939388254,90453.50793429786,115641.13
2013-01-09,93810.35909152222,90749.3099846989,115262.96
2013-01-10,95544.98197262146,92427.33180518729,113131.664
2013-01-11,94528.8661879233,91444.37206365218,114334.81
2013-01-14,92709.89950265754,89684.75859269235,116534.89
2013-01-15,93256.85024166542,90124.17747085434,117222.39
2013-01-16,94022.60871877384,90864.21268233629,118184.94
2013-01-17,93639.75392814844,90403.35449058993,118666.19
2013-01-18,91822.28224617556,88648.69869698245,120969.41
2013-01-22,89708.72031463156,86608.18619540325,123753.88
2013-01-23,87241.73118772889,84226.46173321655,127157.12
2013-01-24,87265.33156840719,84249.246431927,127122.71
2013-01-25,84787.54569817569,81857.09838602126,130732.2
2013-01-28,84965.89208172956,82029.28071946595,130457.21
2013-01-29,85928.62528460036,82958.73970849505,128979.016
2013-01-30,85951.50114183189,82980.82492491034,128944.68
2013-01-31,84141.29727326379,81233.18575281286,131660.36
2013-02-01,85371.55122168727,82420.91937178539,129735.31
2013-02-04,84489.33250475314,81569.1921078882,131075.98
2013-02-05,82184.89306214027,79344.39924915766,134651.1
2013-02-06,81534.45072726371,78716.4376568979,135716.77
2013-02-07,82030.10187681476,79194.95799358006,134891.75
2013-02-08,80315.90484940264,77460.81249337591,132072.89
2013-02-11,79207.96792057299,76392.26081784564,130250.98
2013-02-12,78037.3139274583,75186.82930103847,132176.02
2013-02-13,77671.98710075673,74759.66001134887,131557.25
2013-02-14,80168.37010300565,77087.68096082732,127328.99
2013-02-15,85016.58627092844,81672.50346591312,135029.27
2013-02-19,83414.93459134751,80133.85191461588,132485.4
2013-02-20,76099.36511889863,73106.0365282197,120866.31
2013-02-21,74043.22803401551,71057.6704799997,124132.016
2013-02-22,70495.89330092532,67582.31306139984,118184.97
2013-02-25,70393.38349814712,67416.45765385269,118356.82
2013-02-26,69023.53349310787,66104.53840423615,120660.04
2013-02-27,69554.48044065814,66613.03168339367,119731.89
2013-02-28,69913.93762333505,66957.28747463503,119113.11
2013-03-01,68037.45851262564,65160.16438978132,122310.09
2013-03-04,65991.37447794949,63200.608948273104,125988.32
2013-03-05,64118.748782727955,61407.17631853253,129563.46
2013-03-06,63200.09308149739,60527.37043191663,131419.77
2013-03-07,62803.33526773241,60147.39144779483,132244.8
2013-03-08,61774.841652218216,59162.3926761504,134410.48
2013-03-11,61743.251213929296,59132.13819285471,134479.22
2013-03-12,61964.209034641506,59343.75173979729,133997.95
2013-03-13,65350.14317209958,62586.49522012291,126675.86
2013-03-14,62583.62837090501,59874.38942812967,121313.19
2013-03-15,62831.92572902124,60052.06362929651,120831.88
2013-03-18,62706.81358252771,59872.43473438512,120591.28
2013-03-19,64261.973322581514,61357.300488492874,123582.016
2013-03-20,64369.2241783155,61459.70355274185,123788.26
2013-03-21,63278.84156312795,60357.14706506683,125885.18
2013-03-22,64851.318517281434,61796.662868166095,129013.42
2013-03-25,65421.54964662457,62340.034717229755,130147.81
2013-03-26,65939.94493595275,62834.01232107018,131179.11
2013-03-27,65473.3916318706,62389.43481822866,130250.95
2013-03-28,75910.43668784726,72334.86953583088,151014.12
2013-04-01,76618.90289424884,73009.9652518697,152423.53
2013-04-02,82217.57948911797,78271.9205263581,141285.69
2013-04-03,84037.97991810755,79926.68719185433,144413.92
2013-04-04,82757.69163707565,78709.03297107045,142213.83
2013-04-05,81837.48291607572,77755.13352221542,143795.16
2013-04-08,84439.54247583545,80227.39294775711,139223.12
2013-04-09,81604.03106141706,77533.32708972033,143898.3
2013-04-10,84976.5668573319,80660.09528530485,149845.34
2013-04-11,84664.64245243782,80283.35530410454,150395.38
2013-04-12,85535.47785870284,81109.1260899653,148848.45
2013-04-15,81011.79457471699,76819.53764015289,156720.55
2013-04-16,80763.02490594053,76506.82194646998,156239.3
2013-04-17,78062.04448554614,73871.67608958542,161464.45
2013-04-18,76632.74741123593,72519.10364282117,164420.81
2013-04-19,72851.58984850714,68940.91851382026,172533.56
2013-04-22,71661.33948259582,67814.5607547381,175352.4
2013-04-23,72476.15797511108,68585.63981303816,173358.58
2013-04-24,70219.80514689143,66450.40794243394,178755.62
2013-04-25,71300.12318351222,67472.73453663124,176005.5
2013-04-26,66091.85531730391,62544.04634589888,188862.2
2013-04-29,67234.70031459417,63625.54345524069,185596.44
2013-04-30,68118.86974912851,64462.2506989041,183155.75
2013-05-01,67057.71704984567,63458.06064726478,186008.94
2013-05-02,66512.41790350691,62942.03314406862,187521.5
2013-05-03,60476.920859278085,57230.52141478673,204537.66
2013-05-06,64532.432051408214,61068.332877926114,190821.6
2013-05-07,64206.93282370236,60760.3064397901,191784.1
2013-05-08,48543.60312338885,45937.78384598096,238569.97
2013-05-09,43395.47120756044,41066.00350946992,263870.72
2013-05-10,37154.12038360004,35159.68822567744,301821.9
2013-05-13,35224.47635305794,33298.467745272515,286146.4
2013-05-14,35901.5470216156,33938.51745367025,291646.56
2013-05-15,39037.219337268754,36902.73706096771,317119.25
2013-05-16,38719.842382366216,36602.7136854606,314541.03
2013-05-17,38059.70022973717,35978.6668733437,309178.34
